number	nameHu	scientificName	origin	protection	occurrence	localHabitat	maxSize	category
1	Vladykov-ingola	Eudontomyzon vladykovi	Ő	védett	●	Mura, Cupi-patak	~20 cm	szakértő
2	Simatok	Acipenser nudiventris	Ő	fokozottan védett	◐	Mura	~200 cm	szakértő
3	Kecsege	Acipenser ruthenus	Ő	–	●	Mura	~125 cm	kezdő
4	Angolna	Anguilla anguilla	Ő/telepített	–	●	Balaton–Zala, Mura	~150 cm	kezdő
5	Csuka	Esox lucius	Ő	–	●●●	Kis-Balaton, Zala, holtágak, tavak	~150 cm	kezdő
6	Bodorka	Rutilus rutilus	Ő	–	●●●	szinte minden nagyobb víz	~50 cm	kezdő
7	Leánykoncér	Rutilus virgo	Ő	védett	●	Mura, Lendva	~50 cm	szakértő
8	Vörösszárnyú keszeg	Scardinius erythrophthalmus	Ő	–	●●●	Kis-Balaton, holtágak, tavak	~50 cm	kezdő
9	Domolykó	Squalius cephalus	Ő	–	●●●	Mura, Kerka, Zala, patakok	~80 cm	kezdő
10	Nyúldomolykó	Leuciscus leuciscus	Ő	–	●●	Mura és folyóvizek	~40 cm	szakértő
11	Jászkeszeg	Leuciscus idus	Ő	–	●●	Mura, Zala	~80 cm	kezdő
12	Balin	Leuciscus aspius	Ő	–	●●	Mura, Zala, Kis-Balaton	~120 cm	kezdő
13	Küsz	Alburnus alburnus	Ő	–	●●●	szinte minden nagyobb víz	~25 cm	kezdő
14	Sujtásos küsz	Alburnoides bipunctatus	Ő	védett	●●	Mura, Kerka, patakok	~15 cm	szakértő
15	Kurta baing	Leucaspius delineatus	Ő	védett	●	lápok, csatornák, kisvizek	~12 cm	szakértő
16	Fürge cselle	Phoxinus phoxinus	Ő	védett	●●	Kerka-rendszer, patakok	~14 cm	kezdő
17	Dévérkeszeg	Abramis brama	Ő	–	●●●	Kis-Balaton, Zala, Mura, tavak	~80 cm	kezdő
18	Karikakeszeg	Blicca bjoerkna	Ő	–	●●●	Kis-Balaton, Zala, Mura	~40 cm	kezdő
19	Laposkeszeg	Ballerus ballerus	Ő	–	●	Mura/Balaton vízrendszere	~50 cm	szakértő
20	Bagolykeszeg	Ballerus sapa	Ő	–	●	Mura	~50 cm	szakértő
21	Garda	Pelecus cultratus	Ő	–	●●	Balaton, Zala–Kis-Balaton	~60 cm	kezdő
22	Szilvaorrú keszeg	Vimba vimba	Ő	–	●●	Mura	~50 cm	szakértő
23	Paduc	Chondrostoma nasus	Ő	–	●●	Mura, Kerka	~50 cm	kezdő
24	Márna	Barbus barbus	Ő	–	●●	Mura, Kerka, Zala	~100 cm	kezdő
25	Ponty	Cyprinus carpio	Ő/telepített	–	●●●	gyakorlatilag minden nagyobb víz	~120 cm	kezdő
